machine_id,format,trs_percent,sample_count,avg_setup_min
1,F1,90,120,8
1,F2,82,90,10
1,F3,78,60,12
1,F4,80,70,11
1,F5,75,40,14
1,F6,72,30,15
2,F1,88,110,9
2,F2,85,95,9
2,F3,80,80,11
2,F4,83,65,10
2,F5,78,50,13
2,F6,74,35,14
3,F1,86,100,9
3,F2,84,95,9
3,F3,82,90,10
3,F4,79,60,12
3,F5,77,55,12
3,F6,73,40,15
4,F1,85,90,10
4,F2,82,85,10
4,F3,80,80,11
4,F4,78,70,12
4,F5,75,45,13
4,F6,72,40,15
5,F1,93,140,7
5,F2,89,130,8
5,F3,84,110,9
5,F4,82,90,10
5,F5,80,70,11
5,F6,76,50,12
6,F1,88,120,8
6,F2,91,135,8
6,F3,86,120,9
6,F4,84,100,9
6,F5,81,80,11
6,F6,79,70,12
